1
newTeam
Nashville Wranglers

Saffron City
2
Angry Sharks
Dark Soldiers

Midgar
2
Baltimore Diamonds
Slaying Velociraptors

Wily Castle
2
Cincinatti Burnouts
Ragged Parrots

Wuhu Island
2
Nashville Conquerers
Portland Horses

Mute City SNES
2
Great Chickens
Mighty Mosquitos

Palutena's Temple
2
Teal Oysters
Savage Weasels

Reset Bomb Forest
2
Agile Braves
Agile Vipers

Saffron City
2
New York Resistance
Bucking Survivors

Pokemon Stadium 2
2
Cincinatti Aardvarks
Shining Wreckers

Dream Land
2
Blitzing Devils
Seattle Llamas

Arena Ferox
2
Unrelenting Flamingos
Cincinatti Butterflies

Wrecking Crew
2
Conservative Warriors
Great Gorillas

Skyloft
2
Yellow Camels
Mighty Mages

Delfino Plaza
2
Chicago Sharks
Nervous Cougars

Mario Circuit
2
Eager Ravens
Montana Toads

Skyworld
2
Austin Storm
Maroon Suns

Tortimer Island
2
Savory Diamonds
Bucking Bruisers

WarioWare, Inc.
2
Slaying Donkies
Austin Ferrets

Temple
2
Wisconsin Vipers
Green Spiders

Halberd
2
Blitzing Rams
Boston Giraffes

Skyworld
1
team3a
Wheeling Witches

Moray Towers
1
team2a
Wisconsin Felines

WarioWare, Inc.
2
Great Bears
Tenacious Hawks

Mushroom Kingdom II
2
Philidelphia Resistance
Maroon Storm

Brinstar
1
newTeam
Montana Toads

Pokemon Stadium
2
Nervous Cougars
Maroon Suns

Dream Land GB
2
Mighty Mages
Bucking Bruisers

Living Room
2
Great Gorillas
Austin Ferrets

Gerudo Valley
2
Cincinatti Butterflies
Green Spiders

Jungle Japes
2
Seattle Llamas
Boston Giraffes

Yoshi's Island (Melee)
1
team3a
Shining Wreckers

Shadow Moses Island
1
team2a
Bucking Survivors

Tomodachi Life
2
Agile Vipers
Tenacious Hawks

Green Hill Zone
2
Savage Weasels
Maroon Storm

Shadow Moses Island
2
Mighty Mosquitos
Philidelphia Resistance

Yoshi's Story
2
Portland Horses
Great Bears

Paper Mario
2
Ragged Parrots
Wisconsin Felines

Great Plateau Tower
2
Slaying Velociraptors
